index,22nd,name,party,committee,region,gender,times,election,en_name
23,제22대,김교흥,더불어민주당,산업통상자원중소벤처기업위원회,인천 서구갑,남,3선,지역구,KIMKYOHEUNG
24,제22대,김기웅,국민의힘,외교통일위원회,대구 중구남구,남,초선,지역구,KIMKIWOONG
25,제22대,김기표,더불어민주당,국토교통위원회,경기 부천시을,남,초선,지역구,KIMGIPYO
26,제22대,김기현,국민의힘,외교통일위원회,울산 남구을,남,5선,지역구,KIMGIHYEON
27,제22대,김남근,더불어민주당,"정무위원회, 여성가족위원회",서울 성북구을,남,초선,지역구,KIMNAMGEUN
28,제22대,김남희,더불어민주당,"보건복지위원회, 여성가족위원회",경기 광명시을,여,초선,지역구,KIMNAMHEE
29,제22대,김대식,국민의힘,교육위원회,부산 사상구,남,초선,지역구,KIMDAISIK
30,제22대,김도읍,국민의힘,국토교통위원회,부산 강서구,남,4선,지역구,KIMDOEUP
31,제22대,김동아,더불어민주당,산업통상자원중소벤처기업위원회,서울 서대문구갑,남,초선,지역구,KIMDONGAH
32,제22대,김문수,더불어민주당,"교육위원회, 예산결산특별위원회",전남 순천시광양시곡성군구례군갑,남,초선,지역구,KIMMOONSOO
33,제22대,김미애,국민의힘,보건복지위원회,부산 해운대구을,여,재선,지역구,KIMMIAE
34,제22대,김민석,더불어민주당,"국방위원회, 국회운영위원회",서울 영등포구을,남,4선,지역구,KIMMINSEOK
35,제22대,김민전,국민의힘,교육위원회,비례대표,여,초선,비례대표,KIMMEENGEON
36,제22대,김병기,더불어민주당,"정무위원회, 정보위원회",서울 동작구갑,남,3선,지역구,KIMBYUNGKEE
37,제22대,김병주,더불어민주당,"국방위원회, 예산결산특별위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회",경기 남양주시을,남,재선,지역구,KIMBYUNGJOO
38,제22대,김상욱,국민의힘,"행정안전위원회, 여성가족위원회",울산 남구갑,남,초선,지역구,KIMSANGWOOK
39,제22대,김상훈,국민의힘,정무위원회,대구 서구,남,4선,지역구,KIMSANGHOON
40,제22대,김석기,국민의힘,외교통일위원회,경북 경주시,남,3선,지역구,KIMSEOKKI
41,제22대,김선교,국민의힘,농림축산식품해양수산위원회,경기 여주시양평군,남,재선,지역구,KIMSUNGYO
42,제22대,김선민,조국혁신당,"보건복지위원회, 여성가족위원회",비례대표,여,초선,비례대표,KIMSUNMIN
43,제22대,김성원,국민의힘,"예산결산특별위원회, 산업통상자원중소벤처기업위원회",경기 동두천시양주시연천구을,남,3선,지역구,KIMSUNGWON
44,제22대,김성환,더불어민주당,산업통상자원중소벤처기업위원회,서울 노원구을,남,3선,지역구,KIMSUNGWHAN
45,제22대,김성회,더불어민주당,"행정안전위원회, 국회운영위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회",경기 고양시갑,남,초선,지역구,KIMSUNGHOI
46,제22대,김소희,국민의힘,환경노동위원회,비례대표,여,초선,비례대표,KIMSOHEE
47,제22대,김승수,국민의힘,"문화체육관광위원회, 예산결산특별위원회",대구 북구을,남,재선,지역구,KIMSEUNGSU
48,제22대,김승원,더불어민주당,법제사법위원회,경기 수원시갑,남,재선,지역구,KIMSEUNGWON
49,제22대,김영배,더불어민주당,외교통일위원회,서울 성북구갑,남,재선,지역구,KIMYOUNGBAE
50,제22대,김영진,더불어민주당,"예산결산특별위원회, 기획재정위원회",경기 수원시병,남,3선,지역구,KIMYOUNGJIN
51,제22대,김영호,더불어민주당,교육위원회,서울 서대문구을,남,3선,지역구,KIMYOUNGHO
52,제22대,김영환,더불어민주당,"기획재정위원회, 예산결산특별위원회",경기 고양시정,남,초선,지역구,KIMYOUNGWHAN
53,제22대,김예지,국민의힘,보건복지위원회,비례대표,여,재선,비례대표,KIMYEAJI
54,제22대,김용만,더불어민주당,"여성가족위원회, 정무위원회",경기 하남시을,남,초선,지역구,KIMYONGMAN
55,제22대,김용민,더불어민주당,법제사법위원회,경기 남양주시병,남,재선,지역구,KIMYONGMIN
56,제22대,김용태,국민의힘,"교육위원회, 예산결산특별위원회",경기 포천시가평군,남,초선,지역구,YONGTAEKIM
57,제22대,김우영,더불어민주당,과학기술정보방송통신위원회,서울 은평구을,남,초선,지역구,KIMWOOYOUNG
58,제22대,김원이,더불어민주당,산업통상자원중소벤처기업위원회,전남 목포시,남,재선,지역구,KIMWONI
59,제22대,김위상,국민의힘,환경노동위원회,비례대표,남,초선,비례대표,KIMWISANG
60,제22대,김윤,더불어민주당,보건복지위원회,비례대표,남,초선,비례대표,KIMYOON
61,제22대,김윤덕,더불어민주당,문화체육관광위원회,전북 전주시갑,남,3선,지역구,KIMYUNDUCK
62,제22대,김은혜,국민의힘,국토교통위원회,경기 성남시분당구을,여,재선,지역구,KIMEUNHYE
63,제22대,김장겸,국민의힘,과학기술정보방송통신위원회,비례대표,남,초선,비례대표,KIMJANGKYOM
64,제22대,김재섭,국민의힘,정무위원회,서울 도봉구갑,남,초선,지역구,KIMJAESUB
65,제22대,김재원,조국혁신당,문화체육관광위원회,비례대표,여,초선,비례대표,JAEWONK
66,제22대,김정재,국민의힘,"국토교통위원회, 국회운영위원회",경북 포항시북구,여,3선,지역구,KIMJUNGJAE
67,제22대,김정호,더불어민주당,산업통상자원중소벤처기업위원회,경남 김해시을,남,3선,지역구,KIMJUNGHO
68,제22대,김종민,무소속,산업통상자원중소벤처기업위원회,세종특별자치시갑,남,3선,지역구,KIMJONGMIN
69,제22대,김종양,국민의힘,행정안전위원회,경남 창원시의창구,남,초선,지역구,KIMJONGYANG
70,제22대,김주영,더불어민주당,환경노동위원회,경기 김포시갑,남,재선,지역구,KIMJUYOUNG
71,제22대,김준혁,더불어민주당,교육위원회,경기 수원시정,남,초선,지역구,KIMJUNHYUK
72,제22대,김준형,조국혁신당,외교통일위원회,비례대표,남,초선,비례대표,KIMJOONHYUNG
73,제22대,김태년,더불어민주당,기획재정위원회,경기 성남시수정구,남,5선,지역구,KIMTAENYEON
74,제22대,김태선,더불어민주당,"예산결산특별위원회, 환경노동위원회",울산 동구,남,초선,지역구,KIMTAESEON
75,제22대,김태호,국민의힘,외교통일위원회,경남 양산시을,남,4선,지역구,KIMTAEHO
76,제22대,김한규,더불어민주당,"산업통상자원중소벤처기업위원회, 여성가족위원회",제주 제주시을,남,재선,지역구,KIMHANKYU
77,제22대,김현,더불어민주당,과학기술정보방송통신위원회,경기 안산시을,여,재선,지역구,KIMHyun
78,제22대,김현정,더불어민주당,정무위원회,경기 평택시병 ,남,초선,지역구,KIMHYUNJUNG
79,제22대,김형동,국민의힘,환경노동위원회,경북 안동시예천군,남,재선,지역구,KIMHYUNGDONG
80,제22대,김희정,국민의힘,국토교통위원회,부산 연제구,여,3선,지역구,KIMHeeJung
81,제22대,나경원,국민의힘,산업통상자원중소벤처기업위원회,서울 동작구을,여,5선,지역구,NAKYUNGWON
82,제22대,남인순,더불어민주당,보건복지위원회,서울 송파구병,여,4선,지역구,NAMINSOON
83,제22대,노종면,더불어민주당,"과학기술정보방송통신위원회, 국회운영위원회",인천 부평구갑,남,초선,지역구,NOHJONGMYUN
84,제22대,맹성규,더불어민주당,국토교통위원회,인천 남동구갑,남,3선,지역구,MAENGSUNGKYU
85,제22대,모경종,더불어민주당,"행정안전위원회, 국회운영위원회",인천 서구병,남,초선,지역구,MOGYEONGJONG
86,제22대,문금주,더불어민주당,"농림축산식품해양수산위원회, 예산결산특별위원회",전남 고흥군보성군장흥군강진군,남,초선,지역구,MUNGEUMJU
87,제22대,문대림,더불어민주당,농림축산식품해양수산위원회,제주 제주시갑,남,초선,지역구,MOONDAELIM
88,제22대,문정복,더불어민주당,교육위원회,경기 시흥시갑,여,재선,지역구,MOONJEONGBOG
89,제22대,문진석,더불어민주당,국토교통위원회,충남 천안시갑,남,재선,지역구,MOONJINSEOG
90,제22대,민병덕,더불어민주당,정무위원회,경기 안양시동안구갑,남,재선,지역구,MINBYOUNGDUG
91,제22대,민형배,더불어민주당,문화체육관광위원회,광주 광산구을,남,재선,지역구,MINHYUNGBAE
92,제22대,민홍철,더불어민주당,국토교통위원회,경남 김해시갑,남,4선,지역구,MINHONGCHUL
93,제22대,박균택,더불어민주당,법제사법위원회,광주 광산구갑,남,초선,지역구,PARKKYOONTAEK
94,제22대,박대출,국민의힘,기획재정위원회,경남 진주시갑,남,4선,지역구,PARKDAECHUL
95,제22대,박덕흠,국민의힘,농림축산식품해양수산위원회,충북 보은군옥천군영동군괴산군,남,4선,지역구,PARKDUKHYUM
96,제22대,박민규,더불어민주당,과학기술정보방송통신위원회,서울 관악구갑,남,초선,지역구,PARKMINKYU
97,제22대,박범계,더불어민주당,"국방위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회",대전 서구을,남,4선,지역구,PARKBEOMKYE
98,제22대,박상웅,국민의힘,산업통상자원중소벤처기업위원회,경남 밀양시의령군함안군창녕군,남,초선,지역구,PARKSANGWOONG
99,제22대,박상혁,더불어민주당,정무위원회,경기 김포시을,남,재선,지역구,PARKSANGHYUK
100,제22대,박선원,더불어민주당,"국방위원회, 정보위원회",인천 부평구을,남,초선,지역구,PARKSUNWON
101,제22대,박성민,국민의힘,산업통상자원중소벤처기업위원회,울산 중구,남,재선,지역구,PARKSEONGMIN
102,제22대,박성준,더불어민주당,"교육위원회, 국회운영위원회",서울 중구성동구을,남,재선,지역구,PARKSUNGJOON
103,제22대,박성훈,국민의힘,기획재정위원회,부산 북구을,남,초선,지역구,PARKSUNGHOON
104,제22대,박수민,국민의힘,"기획재정위원회, 예산결산특별위원회",서울 강남구을,남,초선,지역구,PARKSOOMIN
105,제22대,박수영,국민의힘,기획재정위원회,부산 남구,남,재선,지역구,PARKSOOYOUNG
106,제22대,박수현,더불어민주당,"문화체육관광위원회, 예산결산특별위원회",충남 공주시부여군청양군,남,재선,지역구,PARKSooHyun
107,제22대,박용갑,더불어민주당,국토교통위원회,대전 중구,남,초선,지역구,PARKYONGKAB
108,제22대,박은정,조국혁신당,"법제사법위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회",비례대표,여,초선,비례대표,PARKEUNJUNG
109,제22대,박정,더불어민주당,"예산결산특별위원회, 환경노동위원회",경기 파주시을,남,3선,지역구,PARKJEUNG
110,제22대,박정하,국민의힘,문화체육관광위원회,강원 원주시갑,남,재선,지역구,PARKJEONGHA
111,제22대,박정현,더불어민주당,행정안전위원회,대전 대덕구,여,초선,지역구,PARKJEONGHYEON
112,제22대,박정훈,국민의힘,과학기술정보방송통신위원회,서울 송파구갑,남,초선,지역구,PARKJEONGHUN
113,제22대,박주민,더불어민주당,"보건복지위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회",서울 은평구갑,남,3선,지역구,PARKJUMIN
114,제22대,박준태,국민의힘,"법제사법위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회",비례대표,남,초선,비례대표,PARKJUNTAE
115,제22대,박지원,더불어민주당,"법제사법위원회, 정보위원회",전남 해남군완도군진도군,남,5선,지역구,PARKJIEWON
116,제22대,박지혜,더불어민주당,"산업통상자원중소벤처기업위원회, 예산결산특별위원회",경기 의정부시갑,여,초선,지역구,PARKJEEHYE
117,제22대,박찬대,더불어민주당,"국방위원회, 국회운영위원회, 정보위원회",인천 연수구갑,남,3선,지역구,PARKCHANDAE
118,제22대,박충권,국민의힘,과학기술정보방송통신위원회,비례대표,남,초선,비례대표,PARKCHOONGKWON
119,제22대,박해철,더불어민주당,환경노동위원회,경기 안산시병,남,초선,지역구,PARKHAECHEOL
120,제22대,박형수,국민의힘,산업통상자원중소벤처기업위원회,경북 의성군청송군영덕군울진군,남,재선,지역구,PARKHYEUNGSOO
121,제22대,박홍근,더불어민주당,기획재정위원회,서울 중랑구을,남,4선,지역구,PARKHONGKEUN
122,제22대,박홍배,더불어민주당,환경노동위원회,비례대표,남,초선,비례대표,PARKHONGBAE
123,제22대,박희승,더불어민주당,보건복지위원회,전북 남원시장수군임실군순창군,남,초선,지역구,PARKHEESEONG
124,제22대,배준영,국민의힘,"국회운영위원회, 행정안전위원회",인천 중구강화군옹진군,남,재선,지역구,BAEJUNEYOUNG
125,제22대,배현진,국민의힘,문화체육관광위원회,서울 송파구을,여,재선,지역구,BAEHYUNJIN
126,제22대,백승아,더불어민주당,"교육위원회, 여성가족위원회",비례대표,여,초선,비례대표,BAKSEUNGA
127,제22대,백종헌,국민의힘,보건복지위원회,부산 금정구,남,재선,지역구,BAEKJONGHEAN
128,제22대,백혜련,더불어민주당,보건복지위원회,경기 수원시을,여,3선,지역구,BACKHYERYUN
129,제22대,복기왕,더불어민주당,국토교통위원회,충남 아산시갑,남,재선,지역구,BOKKIWANG
130,제22대,부승찬,더불어민주당,"국방위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회",경기 용인시병,남,초선,지역구,BOOSEUNGCHAN
131,제22대,서명옥,국민의힘,보건복지위원회,서울 강남구갑,여,초선,지역구,SUHMYUNGOK
132,제22대,서미화,더불어민주당,"국회운영위원회, 보건복지위원회",비례대표,여,초선,비례대표,SEOMIHWA
133,제22대,서범수,국민의힘,"국토교통위원회, 여성가족위원회, 예산결산특별위원회",울산 울주군,남,재선,지역구,SUHBUMSOO
134,제22대,서삼석,더불어민주당,농림축산식품해양수산위원회,전남 영암군무안군신안군,남,3선,지역구,SEOSAMSEOK
135,제22대,서영교,더불어민주당,"법제사법위원회, 여성가족위원회",서울 중랑구갑,여,4선,지역구,SEOYOUNGKYO
136,제22대,서영석,더불어민주당,"보건복지위원회, 예산결산특별위원회",경기 부천시갑,남,재선,지역구,SEOYOUNGSEOK
137,제22대,서왕진,조국혁신당,산업통상자원중소벤처기업위원회,비례대표,남,초선,비례대표,SEOWANGJIN
138,제22대,서일준,국민의힘,"예산결산특별위원회, 산업통상자원중소벤처기업위원회",경남 거제시,남,재선,지역구,SEOILJUN
139,제22대,서지영,국민의힘,"교육위원회, 예산결산특별위원회",부산 동래구,여,초선,지역구,SEOJIYOUNG
140,제22대,서천호,국민의힘,농림축산식품해양수산위원회,경남 사천시남해군하동군,남,초선,지역구,SUHCHEONHO
141,제22대,성일종,국민의힘,국방위원회,충남 서산시태안군,남,3선,지역구,SUNGILJONG
142,제22대,소병훈,더불어민주당,보건복지위원회,경기 광주시갑,남,3선,지역구,SOBYUNGHOON
143,제22대,손명수,더불어민주당,국토교통위원회,경기 용인시을,남,초선,지역구,SONMYOUNGSOO
144,제22대,송기헌,더불어민주당,국토교통위원회,강원 원주시을,남,3선,지역구,SONGKIHUN
145,제22대,송석준,국민의힘,"법제사법위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회",경기 이천시,남,3선,지역구,SONGSEOGJUN
146,제22대,송언석,국민의힘,기획재정위원회,경북 김천시,남,3선,지역구,SONGEONSEOG
147,제22대,송옥주,더불어민주당,농림축산식품해양수산위원회,경기 화성시갑,여,3선,지역구,SONGOKJOO
148,제22대,송재봉,더불어민주당,산업통상자원중소벤처기업위원회,충북 청주시청원구,남,초선,지역구,SONGJAEBONG
149,제22대,신동욱,국민의힘,문화체육관광위원회,서울 서초구을,남,초선,지역구,SHINDONGUK
150,제22대,신성범,국민의힘,"과학기술정보방송통신위원회, 정보위원회",경남 산청군함양군거창군합천군,남,3선,지역구,SHINSungBum
151,제22대,신영대,더불어민주당,"기획재정위원회, 예산결산특별위원회",전북 군산시김제시부안군갑,남,재선,지역구,SHINYEONGDAE
152,제22대,신장식,조국혁신당,"국회운영위원회, 정무위원회",비례대표,남,초선,비례대표,SHINCHANGSIK
153,제22대,신정훈,더불어민주당,행정안전위원회,전남 나주시화순군,남,3선,지역구,SHINJEONGHOON
154,제22대,안규백,더불어민주당,국방위원회,서울 동대문구갑,남,5선,지역구,AHNGYUBACK
155,제22대,안도걸,더불어민주당,"기획재정위원회, 예산결산특별위원회",광주 동구남구을,남,초선,지역구,AHNDOGEOL
156,제22대,안상훈,국민의힘,보건복지위원회,비례대표,남,초선,비례대표,AHNSANGHOON
157,제22대,안철수,국민의힘,외교통일위원회,경기 성남시분당구갑,남,4선,지역구,AHNCHEOLSOO
158,제22대,안태준,더불어민주당,국토교통위원회,경기 광주시을,남,초선,지역구,ANTAEJUN
159,제22대,안호영,더불어민주당,환경노동위원회,전북 완주군진안군무주군,남,3선,지역구,ANHOYOUNG
160,제22대,양문석,더불어민주당,"문화체육관광위원회, 국회운영위원회",경기 안산시갑,남,초선,지역구,YANGMOONSEOK
161,제22대,양부남,더불어민주당,행정안전위원회,광주 서구을,남,초선,지역구,YANGBUNAM
162,제22대,어기구,더불어민주당,농림축산식품해양수산위원회,충남 당진시,남,3선,지역구,EOHKIYKU
163,제22대,엄태영,국민의힘,"국토교통위원회, 예산결산특별위원회",충북 제천시단양군,남,재선,지역구,EOMTAEYOUNG
164,제22대,염태영,더불어민주당,국토교통위원회,경기 수원시무,남,초선,지역구,YEOMTAEYOUNG
165,제22대,오기형,더불어민주당,"기획재정위원회, 예산결산특별위원회",서울 도봉구을,남,재선,지역구,OHGIHYOUNG
166,제22대,오세희,더불어민주당,산업통상자원중소벤처기업위원회,비례대표,여,초선,비례대표,OHSAEHEE
167,제22대,용혜인,기본소득당,행정안전위원회,비례대표,여,재선,비례대표,YONGHYEIN
168,제22대,우원식,무소속,,서울 노원구갑,남,5선,지역구,WOOWONSHIK
169,제22대,우재준,국민의힘,환경노동위원회,대구 북구갑,남,초선,지역구,WOOJAEJUN
170,제22대,위성곤,더불어민주당,"예산결산특별위원회, 행정안전위원회",제주 서귀포시,남,3선,지역구,WISEONGGON
171,제22대,위성락,더불어민주당,"외교통일위원회, 정보위원회",비례대표,남,초선,비례대표,WISUNGLAC
172,제22대,유동수,더불어민주당,정무위원회,인천 계양구갑,남,3선,지역구,YOODONGSOO
173,제22대,유상범,국민의힘,"법제사법위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회",강원 홍천군횡성군영월군평창군,남,재선,지역구,YOOSANGBUM
174,제22대,유영하,국민의힘,"정무위원회, 정보위원회",대구 달서구갑,남,초선,지역구,YOOYEONGHA
175,제22대,유용원,국민의힘,"국방위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회",비례대표,남,초선,비례대표,YUYONGWEON
176,제22대,윤건영,더불어민주당,"국회운영위원회, 행정안전위원회",서울 구로구을,남,재선,지역구,YOUNKUNYOUNG
177,제22대,윤상현,국민의힘,외교통일위원회,인천 동구미추홀구을,남,5선,지역구,YOONSANGHYUN
178,제22대,윤영석,국민의힘,국토교통위원회,경남 양산시갑,남,4선,지역구,YOONYOUNGSEOK
179,제22대,윤재옥,국민의힘,국토교통위원회,대구 달서구을,남,4선,지역구,YUNJAEOK
180,제22대,윤종군,더불어민주당,"국토교통위원회, 국회운영위원회",경기 안성시,남,초선,지역구,YOONJONGKUN
181,제22대,윤종오,진보당,"국토교통위원회, 예산결산특별위원회",울산 북구,남,재선,지역구,YOONJONGO
182,제22대,윤준병,더불어민주당,"농림축산식품해양수산위원회, 예산결산특별위원회",전북 정읍시고창군,남,재선,지역구,YOONJOONBYEONG
183,제22대,윤한홍,국민의힘,정무위원회,경남 창원시마산회원구,남,3선,지역구,YOONHANHONG
184,제22대,윤호중,더불어민주당,기획재정위원회,경기 구리시,남,5선,지역구,YUNHOJUNG
185,제22대,윤후덕,더불어민주당,외교통일위원회,경기 파주시갑,남,4선,지역구,YOONHUDUK
186,제22대,이강일,더불어민주당,정무위원회,충북 청주시상당구,남,초선,지역구,LEEKANGILL
187,제22대,이개호,더불어민주당,보건복지위원회,전남 담양군함평군영광군장성군,남,4선,지역구,LEEKAIHO
188,제22대,이건태,더불어민주당,법제사법위원회,경기 부천시병,남,초선,지역구,LEEGEONTAE
189,제22대,이광희,더불어민주당,행정안전위원회,충북 청주시서원구,남,초선,지역구,LEEGOANGHEE
190,제22대,이기헌,더불어민주당,"문화체육관광위원회, 정보위원회",경기 고양시병,남,초선,지역구,LEEKIHEON
191,제22대,이달희,국민의힘,"행정안전위원회, 여성가족위원회",비례대표,여,초선,비례대표,LEEDALHEE
192,제22대,이만희,국민의힘,농림축산식품해양수산위원회,경북 영천시청도군,남,3선,지역구,LEEMANHEE
193,제22대,이병진,더불어민주당,농림축산식품해양수산위원회,경기 평택시을,남,초선,지역구,YIBYEONGJIN
194,제22대,이상식,더불어민주당,"행정안전위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회",경기 용인시갑,남,초선,지역구,LEESANGSIK
195,제22대,이상휘,국민의힘,과학기술정보방송통신위원회,경북 포항시남구울릉군,남,초선,지역구,LEESANGHWI
196,제22대,이성권,국민의힘,"정보위원회, 행정안전위원회",부산 사하구갑,남,재선,지역구,LEESEONGKWEUN
197,제22대,이성윤,더불어민주당,법제사법위원회,전북 전주시을,남,초선,지역구,LEESUNGYOON
198,제22대,이소영,더불어민주당,"국토교통위원회, 국회운영위원회",경기 의왕시과천시,여,재선,지역구,LEESOYOUNG
199,제22대,이수진,더불어민주당,보건복지위원회,경기 성남시중원구,여,재선,지역구,LEESOOJIN
200,제22대,이양수,국민의힘,농림축산식품해양수산위원회,강원 속초시인제군고성군양양군,남,3선,지역구,LEEYANGSOO
201,제22대,이언주,더불어민주당,산업통상자원중소벤처기업위원회,경기 용인시정,여,3선,지역구,LEEUNJU
202,제22대,이연희,더불어민주당,"국토교통위원회, 여성가족위원회",충북 청주시흥덕구,남,초선,지역구,LEEYEONHEE
203,제22대,이용선,더불어민주당,외교통일위원회,서울 양천구을,남,재선,지역구,LEEYONGSUN
204,제22대,이용우,더불어민주당,환경노동위원회,인천 서구을,남,초선,지역구,YONGWOOLEE
205,제22대,이원택,더불어민주당,농림축산식품해양수산위원회,전북 군산시김제시부안군을,남,재선,지역구,LEEWONTAEG
206,제22대,이인선,국민의힘,"기획재정위원회, 여성가족위원회",대구 수성구을,여,재선,지역구,LEEINSEON
207,제22대,이인영,더불어민주당,"정무위원회, 정보위원회",서울 구로구갑,남,5선,지역구,LEEINYOUNG
208,제22대,이재강,더불어민주당,"외교통일위원회, 예산결산특별위원회",경기 의정부시을,남,초선,지역구,LEEJAEGANG
209,제22대,이재관,더불어민주당,산업통상자원중소벤처기업위원회,충남 천안시을,남,초선,지역구,LEEJAEKWAN
210,제22대,이재명,더불어민주당,외교통일위원회,인천 계양구을,남,재선,지역구,LEEJAEMYUNG
211,제22대,이재정,더불어민주당,외교통일위원회,경기 안양시동안구을,여,3선,지역구,LEEJAEJUNG
212,제22대,이정문,더불어민주당,정무위원회,충남 천안시병,남,재선,지역구,LEEJUNGMUN
213,제22대,이정헌,더불어민주당,과학기술정보방송통신위원회,서울 광진구갑,남,초선,지역구,LEEJEONGHEON
214,제22대,이종배,국민의힘,산업통상자원중소벤처기업위원회,충북 충주시,남,4선,지역구,LEEJONGBAE
215,제22대,이종욱,국민의힘,기획재정위원회,경남 창원시진해구,남,초선,지역구,LEEJONHWOOK
216,제22대,이주영,개혁신당,"보건복지위원회, 예산결산특별위원회",비례대표,여,초선,비례대표,JUYOUNGLEE
217,제22대,이준석,개혁신당,과학기술정보방송통신위원회,경기 화성시을,남,초선,지역구,LEEJUNSEOK
218,제22대,이철규,국민의힘,산업통상자원중소벤처기업위원회,강원 동해시태백시삼척시정선군,남,3선,지역구,LEECHULGYU
219,제22대,이춘석,더불어민주당,국토교통위원회,전북 익산시갑,남,4선,지역구,LEECHOONSUAK
220,제22대,이학영,더불어민주당,환경노동위원회,경기 군포시,남,4선,지역구,LEEHACKYOUNG
221,제22대,이해민,조국혁신당,과학기술정보방송통신위원회,비례대표,여,초선,비례대표,LEEHAIMIN
222,제22대,이해식,더불어민주당,행정안전위원회,서울 강동구을,남,재선,지역구,LEEHAESIK
223,제22대,이헌승,국민의힘,정무위원회,부산 부산진구을,남,4선,지역구,LEEHUNSEUNG
224,제22대,이훈기,더불어민주당,과학기술정보방송통신위원회,인천 남동구을,남,초선,지역구,LEEHOONKI
225,제22대,인요한,국민의힘,외교통일위원회,비례대표,남,초선,비례대표,IHNYOHAN
226,제22대,임광현,더불어민주당,기획재정위원회,비례대표,남,초선,비례대표,LIMKWANGHYUN
227,제22대,임미애,더불어민주당,"농림축산식품해양수산위원회, 여성가족위원회, 예산결산특별위원회",비례대표,여,초선,비례대표,LIMMIAE
228,제22대,임오경,더불어민주당,문화체육관광위원회,경기 광명시갑,여,재선,지역구,LIMOKYEONG
229,제22대,임이자,국민의힘,"환경노동위원회, 국회운영위원회",경북 상주시문경시 ,여,3선,지역구,LIMLEEJA
230,제22대,임종득,국민의힘,"국방위원회, 예산결산특별위원회",경북 영주시영양군봉화군,남,초선,지역구,LIMJONGDEUK
231,제22대,임호선,더불어민주당,"농림축산식품해양수산위원회, 예산결산특별위원회",충북 증평군진천군음성군,남,재선,지역구,LIMHOSEON
